id,region,province,sex,value,year
429,ตะวันออกเฉียงเหนือ,บึงกาฬ,หญิง,206975,2557
430,ตะวันออกเฉียงเหนือ,หนองบัวลำภู,หญิง,252865,2557
431,ตะวันออกเฉียงเหนือ,ขอนแก่น,หญิง,902646,2557
432,ตะวันออกเฉียงเหนือ,อุดรธานี,หญิง,785367,2557
433,ตะวันออกเฉียงเหนือ,เลย,หญิง,313962,2557
434,ตะวันออกเฉียงเหนือ,หนองคาย,หญิง,257981,2557
435,ตะวันออกเฉียงเหนือ,มหาสารคาม,หญิง,486454,2557
436,ตะวันออกเฉียงเหนือ,ร้อยเอ็ด,หญิง,655806,2557
437,ตะวันออกเฉียงเหนือ,กาฬสินธุ์,หญิง,494140,2557
438,ตะวันออกเฉียงเหนือ,สกลนคร,หญิง,568552,2557
439,ตะวันออกเฉียงเหนือ,นครพนม,หญิง,356574,2557
440,ตะวันออกเฉียงเหนือ,มุกดาหาร,หญิง,172062,2557
441,ใต้,นครศรีธรรมราช,ชาย,765283,2557
442,ใต้,กระบี่,ชาย,226015,2557
443,ใต้,พังงา,ชาย,130188,2557
444,ใต้,ภูเก็ต,ชาย,177024,2557
445,ใต้,สุราษฎร์ธานี,ชาย,512057,2557
446,ใต้,ระนอง,ชาย,89122,2557
447,ใต้,ชุมพร,ชาย,247893,2557
448,ใต้,สงขลา,ชาย,681340,2557
449,ใต้,สตูล,ชาย,154879,2557
450,ใต้,ตรัง,ชาย,312253,2557
451,ใต้,พัทลุง,ชาย,253818,2557
452,ใต้,ปัตตานี,ชาย,337785,2557
453,ใต้,ยะลา,ชาย,252539,2557
454,ใต้,นราธิวาส,ชาย,381656,2557
